Date,Vaccinations
2021-01-12,13369
2021-01-13,8362
2021-01-14,4854
2021-01-15,3817
2021-01-16,1775
2021-01-17,1284
2021-01-18,3750
2021-01-19,2989
2021-01-20,2723
2021-01-21,2334
2021-01-22,1118
2021-01-23,774
2021-01-24,610
2021-01-25,1326
2021-01-26,1001
2021-01-27,1090
2021-01-28,1271
2021-01-29,1526
2021-01-30,10252
2021-01-31,2757
2021-02-01,1596
2021-02-02,1386
2021-02-03,2282
2021-02-04,2611
2021-02-05,1941
2021-02-06,601
2021-02-07,312
2021-02-08,1419
2021-02-09,2173
2021-02-10,4092
2021-02-11,4646
2021-02-12,3733
2021-02-13,2186
2021-02-14,837
2021-02-15,1854
2021-02-16,3128
2021-02-17,4497
2021-02-18,4561
2021-02-19,3895
2021-02-20,2432
2021-02-21,2346
2021-02-22,5344
2021-02-23,9581
2021-02-24,14209
2021-02-25,16168
2021-02-26,16226
2021-02-27,15584
2021-02-28,9388
2021-03-01,12632
2021-03-02,27652
2021-03-03,44001
2021-03-04,45045
2021-03-05,37235
2021-03-06,21688
2021-03-07,9133
2021-03-08,23800
2021-03-09,47151
2021-03-10,70960
2021-03-11,69680
2021-03-12,67514
2021-03-13,38640
2021-03-14,14378
2021-03-15,32082
2021-03-16,62909
2021-03-17,90906
2021-03-18,104609
2021-03-19,100730
2021-03-20,70449
2021-03-21,30418
2021-03-22,64436
2021-03-23,134547
2021-03-24,208013
2021-03-25,198206
2021-03-26,250962
2021-03-27,201335
2021-03-28,127078
2021-03-29,137405
2021-03-30,233828
2021-03-31,341748
2021-04-01,411998
2021-04-02,215754
2021-04-03,157903
2021-04-04,39491
2021-04-05,54060
2021-04-06,162466
2021-04-07,372241
2021-04-08,403212
2021-04-09,404206
2021-04-10,437442
2021-04-11,160454
2021-04-12,166273
2021-04-13,257732
2021-04-14,292383
2021-04-15,363002
2021-04-16,446025
2021-04-17,458880
2021-04-18,195871
2021-04-19,215665
2021-04-20,272929
2021-04-21,339773
2021-04-22,345675
2021-04-23,394144
2021-04-24,478008
2021-04-25,227159
2021-04-26,249768
2021-04-27,313616
2021-04-28,394152
2021-04-29,395043
2021-04-30,361758
2021-05-01,329170
2021-05-02,137400
2021-05-03,99785
2021-05-04,211639
2021-05-05,348553
2021-05-06,419232
2021-05-07,414731
2021-05-08,404510
2021-05-09,160313
2021-05-10,192723
2021-05-11,308915
2021-05-12,402524
2021-05-13,378650
2021-05-14,346425
2021-05-15,353764
2021-05-16,157687
2021-05-17,210442
2021-05-18,269283
2021-05-19,309020
