Days ,total_vaccinations,people_vaccinated,people_fully_vaccinated
2,2677971,2286572,391399
3,2843815,2431648,412167
4,3067541,2639309,428232
5,3356229,2918252,437977
6,3678180,3234946,443234
7,4023705,3576263,447442
8,4322456,3872394,450062
9,4514802,4062501,452301
10,4723443,4266577,456866
11,5070365,4609740,460625
12,5437284,4973248,464036
13,5849899,5383103,466796
14,6329968,5861351,468617
15,6822981,6353321,469660
16,7044048,6573570,470478
17,7325773,6853327,472446
18,7638543,7164387,474156
19,7953250,7476765,476485
20,8369438,7891184,478254
21,8859372,8378940,480432
22,9468382,8977329,491053
23,9790576,9296367,494209
24,10143511,9646715,496796
25,10520433,10021471,498962
26,10992444,10490487,501957
27,11477040,10971047,505993
28,11975267,11465210,510057
29,12526737,12015018,511719
30,12806587,12294006,512581
31,13162878,12646486,516392
32,13577851,13058298,519553
33,14033555,13509108,524447
34,14542318,14012224,530094
35,15091696,14556827,534869
36,15599904,15062189,537715
37,15839781,15300151,539630
38,16122272,15576107,546165
39,16499549,15940972,558577
40,16996806,16423082,573724
41,17465127,16875536,589591
42,17852327,17247442,604885
43,18197269,17582121,615148
44,18348165,17723840,624325
45,18558969,17916181,642788
46,18911978,18242873,669105
47,19392553,18691835,700718
48,19913592,19177555,736037
49,20450858,19682048,768810
50,20885683,20089551,796132
51,21091267,20275451,815816
52,21322717,20478619,844098
53,21599027,20703615,895412
54,21946433,20982571,963862
55,22392883,21358815,1034068
56,22887118,21796278,1090840
57,23335514,22213112,1122402
58,23519898,22377255,1142643
59,23773959,22592528,1181431
60,24064182,22809829,1254353
61,24405231,23053716,1351515
62,24759603,23314525,1445078
63,25216857,23684103,1532754
64,25781120,24196211,1584909
65,26063501,24453221,1610280
66,26503552,24839906,1663646
67,27032671,25273226,1759445
68,27614526,25735472,1879054
69,28274802,26263732,2011070
70,29015457,26878662,2136795
71,29859742,27630970,2228772
72,30279360,27997976,2281384
73,30691557,28327873,2363684
74,31186362,28653523,2532839
75,31766669,28991188,2775481
76,32325993,29316130,3009863
77,33020952,29727435,3293517
78,33684114,30151736,3532378
79,34125256,30445284,3679972
80,34530295,30682093,3848202
81,35033894,30908010,4125884
82,35660902,31147444,4513458
83,36277136,31318262,4958874
84,36631187,31425682,5205505
85,36917986,31533568,5384418
86,37013749,31581623,5432126
87,37119083,31622367,5496716
88,37391103,31707594,5683509
89,37899029,31807124,6091905
90,38444540,31903366,6541174
91,39001554,32010244,6991310
92,39587893,32121353,7466540
93,39846781,32190576,7656205
94,40107877,32250481,7857396
95,40496685,32326604,8170081
96,40958303,32444439,8513864
97,41505768,32574221,8931547
98,42140989,32709778,9431211
99,42780069,32849223,9930846
100,43084487,32932448,10152039
101,43457910,33032120,10425790
102,43915559,33139742,10775817
103,44450252,33257651,11192601
104,45012308,33388637,11623671
105,45613109,33524423,12088686
106,46309512,33673190,12636322
107,46650008,33752885,12897123
108,47045391,33843580,13201811
109,47540984,33959908,13581076
110,48138009,34094048,14043961
111,48752144,34216616,14535528
112,49319518,34362205,14957313
113,49834997,34505380,15329617
114,50097812,34595304,15502508
115,50297911,34667904,15630007
116,50682567,34795074,15887493
117,51225890,34934171,16291719
118,51834361,35069641,16764720
119,52433184,35202642,17230542
120,53041048,35371669,17669379
121,53328845,35472295,17856550
122,53675733,35587348,18088385
123,54160993,35722461,18438532
124,54797640,35906671,18890969
125,55434965,36115955,19319010
126,56048435,36336023,19712412
